time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443100000	1.15507	0.483257	0.0837806	3.59955e-17	1.04083e-17	lidar	0.72862	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443200000	1.44987	0.553224	0.997544	0.015479	0.00283918	lidar	4.8255	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443300000	1.91383	0.593121	2.51442	0.15664	0.0405246	lidar	8.54041	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443400000	2.44413	0.64494	3.50437	0.0941166	0.0155539	lidar	5.65777	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443500000	2.88184	0.634854	3.93974	-0.0122023	-0.0308059	lidar	1.74485	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443600000	3.57198	0.38444	4.79786	-0.379768	-0.300807	lidar	10.2759	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443700000	4.16614	0.483144	5.08794	-0.0596425	0.28175	lidar	3.55377	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443800000	4.53813	0.750789	4.68801	0.263453	0.905498	lidar	5.45974	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443900000	5.20664	0.717049	5.1877	0.131069	0.32884	lidar	8.30231	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010444000000	5.83554	0.723535	5.43435	0.075722	0.113824	lidar	2.65656	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444100000	6.35202	0.887481	5.43345	0.200193	0.347622	lidar	0.505951	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444200000	6.85489	0.825807	5.33832	0.0891625	0.0719989	lidar	1.73838	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444300000	7.29539	0.931895	5.20166	0.147624	0.163688	lidar	1.80365	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444400000	7.81417	0.846542	5.17162	0.0438189	-0.0374581	lidar	1.65906	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444500000	8.30278	0.854608	5.12665	0.0321982	-0.0504097	lidar	0.211304	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444600000	8.78979	0.963697	5.10221	0.0904367	0.0488475	lidar	0.802609	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444700000	9.28269	1.03067	5.08399	0.108779	0.0697965	lidar	0.0784779	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444800000	9.85851	1.25983	5.23555	0.221213	0.233279	lidar	5.18644	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444900000	10.3285	1.42167	5.18301	0.273994	0.28058	lidar	0.540827	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010445000000	10.7998	1.51658	5.12673	0.273267	0.236687	lidar	0.608042	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445100000	11.3816	1.62588	5.26701	0.262451	0.178425	lidar	2.73721	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445200000	11.8549	1.76175	5.21193	0.282352	0.182668	lidar	0.379533	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445300000	12.349	1.85257	5.18054	0.265884	0.127429	lidar	0.42508	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445400000	12.7597	2.08937	5.08381	0.351772	0.245549	lidar	2.58344	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445500000	13.1806	2.3405	5.0358	0.428482	0.329897	lidar	1.00787	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445600000	13.6926	2.57514	5.14317	0.459594	0.324297	lidar	1.44396	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445700000	14.1589	2.86477	5.19848	0.521399	0.369918	lidar	0.599052	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445800000	14.5732	3.0424	5.08529	0.516317	0.305873	lidar	2.0411	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445900000	14.999	3.38858	5.14221	0.600102	0.389532	lidar	1.1101	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010446000000	15.4405	3.7386	5.22589	0.659802	0.420305	lidar	0.977006	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446100000	15.8968	4.02697	5.26217	0.663248	0.357292	lidar	0.551406	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446200000	16.3055	4.3911	5.29979	0.715712	0.383085	lidar	0.242772	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446300000	16.6697	4.72427	5.24094	0.754296	0.385192	lidar	0.433206	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446400000	17.0138	5.14239	5.26391	0.829775	0.444021	lidar	0.411208	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446500000	17.3421	5.50377	5.20335	0.866496	0.433593	lidar	0.470497	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446600000	17.7404	5.78777	5.13904	0.827043	0.3021	lidar	2.268	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446700000	18.0986	6.16544	5.15425	0.847503	0.286052	lidar	0.0556848	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446800000	18.338	6.61499	5.12412	0.945179	0.397809	lidar	1.38763	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446900000	18.6188	6.94168	4.98902	0.952651	0.349156	lidar	2.50605	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010447000000	19.0131	7.26951	4.99418	0.898951	0.206973	lidar	2.06763	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447100000	19.1773	7.76316	4.98713	1.03013	0.383748	lidar	3.187	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447200000	19.3095	8.19562	4.87801	1.1297	0.483923	lidar	2.50272	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447300000	19.4651	8.53998	4.69424	1.16811	0.474267	lidar	4.26768	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447400000	19.7997	8.92088	4.74017	1.10548	0.298516	lidar	3.43422	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447500000	20.0623	9.37211	4.82502	1.1095	0.255812	lidar	1.08635	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447600000	20.2141	9.84686	4.84814	1.18074	0.327343	lidar	0.571535	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447700000	20.2799	10.3672	4.88293	1.29901	0.461115	lidar	1.91359	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447800000	20.3763	10.8941	4.95939	1.37238	0.501609	lidar	0.902877	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447900000	20.3965	11.3778	4.92388	1.46269	0.566091	lidar	0.557403	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010448000000	20.5157	11.8821	4.97911	1.47038	0.486646	lidar	0.983979	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448100000	20.4431	12.4183	5.02214	1.594	0.603149	lidar	1.59695	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448200000	20.4554	12.9089	5.01235	1.62868	0.563064	lidar	0.173176	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448300000	20.3096	13.3379	4.89389	1.7503	0.671683	lidar	2.89932	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448400000	20.2628	13.8373	4.92643	1.78013	0.610952	lidar	0.500144	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448500000	20.1352	14.3198	4.94004	1.84778	0.620708	lidar	0.0330943	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448600000	19.8903	14.7767	4.95566	1.97232	0.719124	lidar	0.998949	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448700000	19.8355	15.2344	4.89455	1.94592	0.566254	lidar	2.82031	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448800000	19.759	15.6575	4.78608	1.93698	0.466895	lidar	2.43188	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448900000	19.5268	16.0648	4.76474	2.0224	0.528685	lidar	0.453697	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010449000000	19.2643	16.4138	4.68172	2.12003	0.601836	lidar	1.43243	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449100000	19.0089	16.8146	4.69878	2.17719	0.59643	lidar	0.0393342	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449200000	18.6964	17.2461	4.81183	2.23832	0.594148	lidar	1.5945	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449300000	18.2655	17.569	4.87015	2.38249	0.724823	lidar	2.12283	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449400000	18.038	17.9733	4.83019	2.34973	0.561666	lidar	2.84669	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449500000	17.7654	18.2923	4.72564	2.37494	0.517598	lidar	1.5653	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449600000	17.4138	18.642	4.771	2.41412	0.496366	lidar	0.303744	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449700000	17.093	18.936	4.70325	2.4506	0.477852	lidar	0.599113	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449800000	16.6538	19.1451	4.70552	2.56958	0.589098	lidar	1.26042	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449900000	16.2655	19.4768	4.78206	2.57615	0.504402	lidar	1.46266	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010450000000	15.8934	19.7877	4.79599	2.57681	0.425943	lidar	0.63789	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450100000	15.4794	20.0918	4.85811	2.58991	0.378009	lidar	0.714635	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450200000	15.1192	20.3912	4.8245	2.57771	0.300471	lidar	0.720721	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450300000	14.6921	20.6243	4.8348	2.62355	0.325029	lidar	0.0716432	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
