time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735338	0.629469	7.20384	5.80272e-18	-4.03428e-17	radar	74.6714	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494943	7.20692	-0.127192	-0.0118695	lidar	0.220996	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25801	0.533086	7.19212	0.122712	0.0307269	radar	1.82498	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61582	0.595361	7.20563	0.161537	0.0463971	lidar	0.167368	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85111	0.561911	6.00988	0.0254376	-0.234825	radar	7.68453	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16295	0.59128	6.0095	0.0400904	-0.178708	lidar	0.253852	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37885	0.6372	5.60585	0.0559251	-0.342741	radar	6.26802	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65612	0.654278	5.60326	0.0446155	-0.320799	lidar	0.00840691	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.9226	0.647853	5.53794	-0.00320882	-0.474359	radar	0.415071	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15847	0.643436	5.49371	-0.0165991	-0.439182	lidar	1.20034	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44401	0.539411	5.52642	-0.165246	-0.854755	radar	1.26534	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74709	0.426995	5.59289	-0.284321	-1.0772	lidar	2.07971	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02796	0.511427	5.55357	-0.146543	-0.547801	radar	4.16179	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30187	0.50345	5.53541	-0.139309	-0.463748	lidar	0.375211	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56257	0.539369	5.4532	-0.0988921	-0.326992	radar	2.09423	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75231	0.645975	5.29197	0.00241672	-0.0786775	lidar	12.9465	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00459	0.644585	5.22592	-0.00626534	-0.0915448	radar	1.94109	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30492	0.64204	5.27592	-0.0123464	-0.0943075	lidar	2.41889	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56279	0.650059	5.29309	-0.00578241	-0.0711866	radar	1.72539	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85594	0.667057	5.32609	0.00336576	-0.0490235	lidar	1.55497	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09906	0.592048	5.264	-0.0534536	-0.145539	radar	3.72884	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35458	0.70824	5.23743	0.0265311	-0.001235	lidar	3.986	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60536	0.74018	5.19879	0.0417688	0.0219698	radar	0.663624	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85256	0.739131	5.18508	0.0356648	0.0107058	lidar	0.298559	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.0967	0.721034	5.11061	0.0171383	-0.0231057	radar	3.12409	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31698	0.808823	5.06399	0.0676125	0.0571244	lidar	3.23983	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60702	0.82048	5.15631	0.0669895	0.0531476	radar	4.21667	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85683	0.797521	5.14776	0.045855	0.0168753	lidar	0.547468	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10724	0.814727	5.09736	0.0483952	0.0167146	radar	2.41699	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34447	0.83352	5.07662	0.0535796	0.02357	lidar	0.489469	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.61071	0.929537	5.15286	0.104521	0.10271	radar	6.86638	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.84708	0.991683	5.13049	0.130714	0.135128	lidar	0.770147	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13463	1.03276	5.18491	0.139577	0.137345	radar	6.69372	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.3714	1.06522	5.1605	0.145005	0.135642	lidar	0.706986	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
