time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443050000	0.862916	0.534212	0	0	0	radar	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443150000	0.741683	-0.045825	4.68599	7.02085e-17	-3.73295e-18	radar	26.4196	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443250000	1.90217	0.637406	5.11552	0.070051	-0.0228537	radar	8.10286	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443350000	2.26029	0.628288	5.30601	0.284155	0.0202493	radar	2.55069	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443450000	2.81484	0.643772	5.33428	-0.00604117	-0.114959	radar	0.718257	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443550000	3.36763	0.515401	5.42167	-0.167565	-0.25123	radar	1.38257	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443650000	3.95969	0.591992	5.41014	0.00671504	0.31539	radar	2.31107	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443750000	4.50304	0.647424	5.33696	0.0781888	0.415073	radar	0.525989	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443850000	5.03079	0.678074	5.23152	0.0967629	0.357011	radar	1.83538	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443950000	5.52247	0.693363	5.29321	0.0955906	0.270613	radar	1.755	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444050000	6.0268	0.544445	5.20461	-0.051746	-0.0905386	radar	3.05117	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444150000	6.53473	0.668014	5.16696	0.0520685	0.112031	radar	1.48417	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444250000	7.04649	0.65567	5.06596	0.0316915	0.0574693	radar	2.59337	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444350000	7.62422	0.726729	5.20432	0.0712795	0.114975	radar	4.34501	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444450000	8.13713	0.809081	5.11373	0.108152	0.152359	radar	2.39885	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444550000	8.63933	1.08716	5.2274	0.245446	0.320665	radar	5.28949	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444650000	9.22301	1.16348	5.2908	0.239123	0.264618	radar	5.42478	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444750000	9.7671	1.35659	5.34629	0.292309	0.296415	radar	1.84955	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444850000	10.2614	1.60396	5.27876	0.375827	0.384857	radar	2.53886	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444950000	10.7251	1.81244	5.1722	0.439242	0.450266	radar	2.62931	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445050000	11.2596	1.82118	5.16657	0.369294	0.293572	radar	2.91103	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445150000	11.7209	1.88333	5.07721	0.34743	0.238592	radar	2.26641	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445250000	12.2059	2.0819	5.15959	0.369153	0.218772	radar	1.05523	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445350000	12.7117	2.11383	5.16929	0.308457	0.0998083	radar	2.28835	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445450000	13.2084	2.39098	5.29599	0.36093	0.137489	radar	1.83178	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445550000	13.527	2.83769	5.16991	0.523718	0.351284	radar	11.8603	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445650000	13.9658	3.00637	5.1228	0.522595	0.314004	radar	0.873075	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445750000	14.474	3.10409	5.15177	0.457565	0.170769	radar	1.80247	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445850000	14.8924	3.50899	5.25444	0.535469	0.219911	radar	2.10174	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445950000	15.2975	3.90493	5.25197	0.624581	0.318136	radar	1.0869	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446050000	15.7515	4.01448	5.15667	0.584885	0.252137	radar	2.29536	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446150000	16.1592	4.30623	5.0914	0.636931	0.320122	radar	1.52873	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446250000	16.5935	4.56432	5.08945	0.643022	0.287259	radar	0.339149	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446350000	16.9022	5.00195	5.01871	0.776973	0.476191	radar	4.23168	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446450000	17.2807	5.21129	4.93311	0.785164	0.457483	radar	1.55159	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446550000	17.6382	5.41378	4.82495	0.802797	0.464389	radar	2.34444	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446650000	17.92	5.85377	4.84149	0.898192	0.539378	radar	0.64599	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446750000	18.1989	6.32513	4.90966	0.955918	0.507794	radar	1.09867	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446850000	18.4533	6.78506	4.94317	1.01826	0.509932	radar	0.221883	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446950000	18.7509	7.17419	4.95076	1.01851	0.409498	radar	0.931437	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447050000	18.9241	7.60778	4.91244	1.10169	0.492435	radar	2.93915	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447150000	19.1902	7.96148	4.87056	1.10514	0.423332	radar	0.642161	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447250000	19.3823	8.3698	4.85329	1.12775	0.372394	radar	2.32388	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447350000	19.591	8.74214	4.79364	1.16766	0.407966	radar	0.696855	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447450000	19.7215	9.24839	4.82431	1.24184	0.46135	radar	0.418264	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447550000	19.8068	9.74331	4.8353	1.32687	0.532679	radar	0.76106	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447650000	19.8372	10.412	4.98157	1.37471	0.433486	radar	5.62072	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447750000	19.8725	10.9077	4.97767	1.44869	0.495084	radar	0.941724	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447850000	19.8661	11.5396	5.08128	1.49484	0.430586	radar	2.50374	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447950000	19.7425	12.1169	5.1248	1.62699	0.605271	radar	5.02695	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448050000	19.8336	12.4945	5.00212	1.58873	0.401231	radar	4.56158	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448150000	19.8134	12.9128	4.92739	1.66706	0.530294	radar	2.3233	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448250000	19.9234	13.2201	4.77944	1.6824	0.518326	radar	5.44922	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448350000	19.8691	13.6734	4.76483	1.72256	0.48922	radar	0.226891	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448450000	19.8525	14.0461	4.68335	1.7736	0.534008	radar	1.43858	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448550000	19.7396	14.4924	4.67705	1.82651	0.529686	radar	0.149014	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448650000	19.704	14.8163	4.56605	1.8507	0.488229	radar	2.07301	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448750000	19.5477	15.2261	4.54964	1.9853	0.742601	radar	9.07843	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448850000	19.4596	15.5497	4.45136	2.01857	0.669157	radar	1.52697	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448950000	19.2742	15.9585	4.44711	2.04544	0.558206	radar	1.3083	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449050000	19.0978	16.3289	4.42528	2.10083	0.57401	radar	0.656154	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449150000	18.8008	16.7931	4.52204	2.21744	0.740787	radar	8.77379	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449250000	18.6307	17.1355	4.43486	2.19527	0.498598	radar	5.80576	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449350000	18.3651	17.5058	4.44485	2.22006	0.424784	radar	0.633717	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449450000	18.1022	17.7805	4.39062	2.30492	0.547218	radar	1.75677	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449550000	17.9312	18.0817	4.32683	2.33064	0.514147	radar	6.76546	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449650000	17.64	18.3382	4.29357	2.40351	0.57428	radar	0.6022	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449750000	17.2587	18.752	4.40155	2.44374	0.537235	radar	4.91731	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449850000	16.7956	19.1671	4.55148	2.51111	0.575456	radar	4.7847	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449950000	16.4401	19.2776	4.46147	2.60732	0.652432	radar	8.46552	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450050000	16.1118	19.4776	4.3895	2.62417	0.51879	radar	2.27573	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450150000	15.5363	19.9116	4.61383	2.65291	0.465449	radar	9.2047	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450250000	15.0821	20.0987	4.6292	2.71693	0.496662	radar	1.3802	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450350000	14.5352	20.3698	4.75251	2.77755	0.530582	radar	2.14016	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450450000	14.0417	20.5611	4.80288	2.84133	0.565854	radar	0.577633	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450550000	13.6062	20.6269	4.7771	2.93893	0.675383	radar	1.38864	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450650000	13.1449	20.7629	4.78457	2.98596	0.638286	radar	2.1008	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450750000	12.5018	20.951	4.94611	3.03306	0.609668	radar	3.48235	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450850000	12.0525	20.9948	4.91817	3.09192	0.61371	radar	0.954938	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450950000	11.569	20.9674	4.90104	3.16014	0.617322	radar	0.976803	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451050000	11.0232	20.9143	4.93385	3.22779	0.613072	radar	3.64214	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451150000	10.3482	20.9901	5.07037	3.22739	0.470605	radar	4.78691	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451250000	9.84743	20.9759	5.07643	3.26488	0.462308	radar	1.43308	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
